"idgrp","cancer","sex","race","year_dx","year_dx_range","health_district","county","stage_group","age_cat","primary_payer_group","poverty","n_risk_init","time_in_years","survival","lower_bound","upper_bound","cum_hazard","cum_hazard_std_err","ch_lower_bound","ch_upper_bound"
47964,"pancreas","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",11238,5,0.1015273079,0.0856976538,0.1202809387,2.2874274735,0.0864807944,2.1179251165,2.4569298306
30766,"liver and intrahepatic bile duct","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",6409,5,0.1561915308,0.1271008865,0.1919403944,1.8566722633,0.1051540115,1.6505704008,2.0627741259
21205,"esophagus","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",4489,5,0.1963751415,0.1647513884,0.234069021,1.6277284619,0.0895863348,1.4521392457,1.8033176781
33491,"lung and bronchus","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",54080,5,0.2026641581,0.1934189926,0.2123512299,1.5962050637,0.0238221598,1.5495136306,1.6428964968
52778,"stomach","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",5753,5,0.3111868907,0.2806807002,0.3450086911,1.1673616124,0.0526407865,1.0641856708,1.2705375541
9166,"brain and other nervous system","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",5337,5,0.316280928,0.2589462176,0.3863104329,1.1511244476,0.1020461455,0.9511140025,1.3511348928
45407,"ovary","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",6115,5,0.4226351393,0.3830460035,0.4663159498,0.861246027,0.050180692,0.7628918707,0.9596001834
38150,"myeloma","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",5457,5,0.5064514578,0.4653037186,0.551237974,0.6803267983,0.0432337398,0.5955886684,0.7650649283
28396,"leukemia","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",10405,5,0.564728612,0.5356630636,0.5953712825,0.571409996,0.0269591491,0.5185700638,0.6242499282
26085,"larynx","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",3367,5,0.5990998542,0.546381325,0.6569050202,0.5123269932,0.0469954879,0.4202158369,0.6044381495
43281,"oral cavity and pharynx","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",9506,5,0.600453432,0.5647349946,0.6384309941,0.5100701892,0.0312900535,0.4487416844,0.571398694
13865,"cervix uteri","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",3364,5,0.6218051022,0.5635019616,0.6861406197,0.4751285759,0.0502325962,0.3766726872,0.5735844645
16613,"colon and rectum","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",38778,5,0.6434981446,0.6294378116,0.6578725563,0.4408361352,0.0112714721,0.4187440499,0.4629282205
40646,"non-Hodgkin lymphoma","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",17490,5,0.7038184985,0.6823924358,0.7259173062,0.3512347707,0.0157732637,0.3203191739,0.3821503676
23794,"kidney and renal pelvis","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",13474,5,0.717323884,0.6906132193,0.7450676301,0.3322278193,0.0193609864,0.294280286,0.3701753525
59659,"urinary bladder","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",20293,5,0.7811893201,0.7623423279,0.8005022566,0.2469377513,0.0124601141,0.2225159275,0.271359575
18804,"corpus and uterus, NOS","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",16029,5,0.7911986204,0.7653802016,0.8178879668,0.2342062423,0.0169266993,0.2010299116,0.2673825731
1565,"Hodgkin lymphoma","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",2580,5,0.8540701367,0.8173361361,0.8924550942,0.1577419613,0.0224300409,0.1137790812,0.2017048414
11753,"breast","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",58370,5,0.8843611459,0.8729605922,0.8959105868,0.1228897637,0.0066199496,0.1099146625,0.1358648648
35852,"melanoma of the skin","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",14734,5,0.8878887728,0.8693488707,0.9068240604,0.1189087997,0.0107663124,0.0978068273,0.140010772
54449,"testis","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",2517,5,0.9360195306,0.8595589601,1.0192815181,0.0661189366,0.0434780213,-0.019097985,0.1513358584
50158,"prostate","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",58775,5,0.9723299319,0.9607401535,0.9840595221,0.028060096,0.0061179603,0.0160688938,0.0400512983
56941,"thyroid","total","total",,"2007-2013","Pennsylvania","Pennsylvania","total","total","total","total",15867,5,0.9857314765,0.9674005504,1.0044097487,0.0143712977,0.0095772204,-0.004400054,0.0331426497
